e, e_dot, e_int, stamp, 
0.00562570980046706, -1.5056592138650968e-08, 0.0003825483261768022, 346052000000, 
0.005625709308421989, -1.5608660333731337e-08, 0.0003825482802129396, 346086000000, 
0.00564380706640355, 0.0001774241758479387, 0.00038295845997329895, 346120000000, 
0.005830539301960425, 0.0007876650637305814, 0.000775202524014297, 346222000000, 
0.006171850096588383, 0.0017256308175974927, 0.0011999413596167601, 346324000000, 
0.009526209542035868, 0.012077353725736746, 0.0014639447279597578, 346426000000, 
0.009674517848448083, 0.011446626640064383, 0.0017253352691209184, 346528000000, 
0.009812427585845995, 0.0011606957925133431, 0.0016440787819920301, 346596000000, 
0.009997535093972942, 0.0012809546216464552, 0.001670787229935131, 346698000000, 
0.01000740731791172, 0.0006371886668814556, 0.0020275811598456845, 346800000000, 
0.01836986009639885, 0.027360539223614075, 0.0026094865705632783, 346902000000, 
0.018475071506149465, 0.02767210519031943, 0.003185959046591282, 347004000000, 
0.018889163647770157, 0.0016970704293180015, 0.0037899184770216554, 347106000000, 
0.0195160048937848, 0.003401743096847498, 0.0038678563232439, 347208000000, 
0.018711731953553468, -0.0005798421379630388, 0.003883949233667372, 347310000000, 
0.04318476394352233, 0.07734888578345599, 0.00553605005377852, 347412000000, 
0.04398022743125507, 0.08257678260686799, 0.007199617186326498, 347514000000, 
0.044871680340783815, 0.006969421085051819, 0.007482078063881802, 347582000000, 
0.046773436345580954, 0.010584756108138095, 0.007685436166665124, 347684000000, 
0.11320032841077943, 0.22329623552286149, 0.013929490266605804, 347786000000, 
0.111400703324958, 0.21120021888685306, 0.018453463829529646, 347888000000, 
0.11324688685464324, 0.0001521517773327083, 0.022973658464145882, 347990000000, 
0.11728211957199619, 0.019220314532804563, 0.02325122026310862, 348092000000, 
0.11193340173272404, -0.004292435038951633, 0.023287443754836712, 348194000000, 
0.25061498217009603, 0.43572830914411714, 0.0326284742362875, 348296000000, 
0.25437467192167995, 0.4654943470227318, 0.041950767796066, 348398000000, 
0.25983279408477866, 0.03012356834863604, 0.05200792647600571, 348500000000, 
0.2696409867356553, 0.04988991769272986, 0.05330169478646374, 348602000000, 
0.48973529463949683, 0.7513153612899286, 0.06930621713127529, 348704000000, 
0.4755934192488023, 0.6499395255483651, 0.06998161636869074, 348772000000, 
0.4541252872873307, -0.13948021257357324, 0.08043572673328568, 348874000000, 
0.4584082538136163, -0.056160671356816995, 0.09439263330378293, 348976000000, 
0.45467006939210775, 0.0017803336757419668, 0.0929698455135277, 349078000000, 
0.5643123304038933, 0.34609175356299676, 0.10046256444545397, 349180000000, 
0.5313668892410504, 0.2506432021207275, 0.10542375165451948, 349282000000, 
0.5184872771093039, -0.1497550761261092, 0.10976332177928881, 349384000000, 
0.5032408808313082, -0.0919150601625559, 0.10561046320835303, 349486000000, 
0.47045987140372203, -0.15695230622739165, 0.10146878599541471, 349588000000, 
0.471779237224216, -0.10281582878134722, 0.09829263928322873, 349690000000, 
0.44170404222983617, -0.09397329795387536, 0.09410813425832863, 349792000000, 
0.4242723046269896, -0.18373464509362636, 0.07580614976459236, 349860000000, 
0.40114816257249997, -0.1610187858129395, 0.07180372220099512, 349962000000, 
0.3825404254058853, -0.13637869026504684, 0.08214134069716549, 350064000000, 
0.36105377051263376, -0.1310274250322425, 0.07784248037738928, 350166000000, 
0.3425440513455853, -0.1307071047722222, 0.07385740081395908, 350268000000, 
0.2890581783078252, -0.23527971308760967, 0.067500608011291, 350370000000, 
0.2731184749238289, -0.22688096869855032, 0.06152100791125227, 350472000000, 
0.2576056266321114, -0.10278611658730004, 0.05574519503073605, 350574000000, 
0.2432789827544135, -0.09751468029220717, 0.05263220973310405, 350676000000, 
0.236776814770292, -0.06806801262032482, 0.050160976842663546, 350778000000, 
0.2340522286821387, -0.030152791085865365, 0.0485593457820654, 350880000000, 
0.22828288729326074, -0.027757932931474705, 0.04753961129070701, 350982000000, 
0.22155201902947486, -0.040850358342038734, 0.04650432518033144, 351084000000, 
0.21644968822697397, -0.04700772701809547, 0.03775612702448354, 351152000000, 
0.2077819088074362, -0.05333750203689252, 0.036594404910286815, 351254000000, 
0.19730420557678263, -0.06256693676533116, 0.04226443457756111, 351356000000, 
0.08175696474969874, -0.41184622241090674, 0.03310532938110639, 351458000000, 
0.06873662706884431, -0.4201554853200599, 0.023650250222882144, 351560000000, 
0.05626121539467244, -0.08331944233668725, 0.014059326890498651, 351662000000, 
0.04458692427702049, -0.07892059735890139, 0.011531764138356531, 351764000000, 
0.04421983006381325, -0.0393509324537882, 0.009864621942014418, 351866000000, 
0.0671931406829982, 0.07387652420254152, 0.01060799286162057, 351968000000, 
0.07729376531459664, 0.10808475572151437, 0.012832058052175748, 352070000000, 
0.08313958302276481, 0.052112556665903954, 0.015478601253384454, 352172000000, 
0.08612262682175675, 0.02885248858549057, 0.016765806310820034, 352274000000, 
0.08594008999056113, 0.008853720758818668, 0.014461463657321351, 352342000000, 
0.07852307324718799, -0.025133405196622795, 0.014199861436705333, 352444000000, 
-0.09458737634908854, -0.5899590403256525, 0.004751553508428919, 352546000000, 
-0.10933647082471865, -0.6139200786663616, -0.008527252627010104, 352648000000, 
-0.12313203717615728, -0.09328320531721812, -0.022239800135797582, 352750000000, 
-0.1360170553942397, -0.08719145284157208, -0.02505701831086786, 352852000000, 
-0.11618764709289353, 0.02269408523942402, -0.02552289829710375, 352954000000, 
-0.07895002638801163, 0.18649355884388255, -0.022518521563509846, 353056000000, 
-0.058836465819612105, 0.18742216102379552, -0.017270241472435173, 353158000000, 
