x [m], y [m], 
-1.9999428543660092, -0.5000009910022765, 
-1.8999428543660093, -0.6900009910022764, 
-1.7999428543660092, -0.8600009910022763, 
-1.6999428543660091, -1.0100009910022765, 
-1.5999428543660092, -1.1400009910022764, 
-1.4999428543660094, -1.2500009910022762, 
-1.3999428543660093, -1.3400009910022763, 
-1.2999428543660092, -1.4100009910022764, 
-1.1999428543660093, -1.4600009910022764, 
-1.0999428543660095, -1.4900009910022765, 
-0.9999428543660094, -1.5000009910022765, 
-0.8999428543660095, -1.4900009910022765, 
-0.7999428543660094, -1.4600009910022766, 
-0.6999428543660093, -1.4100009910022766, 
-0.5999428543660095, -1.3400009910022768, 
-0.4999428543660096, -1.250000991002277, 
-0.3999428543660095, -1.1400009910022768, 
-0.2999428543660094, -1.010000991002277, 
-0.19994285436600956, -0.8600009910022771, 
-0.09994285436600969, -0.6900009910022774, 
