x [m], y [m], 
7.371605548914225, 3.2721720752338905, 
7.471605548914225, 3.2722500719411745, 
7.571605548914225, 3.2724620274956546, 
7.671605548914225, 3.2730377285595886, 
7.771605548914225, 3.274599300521823, 
7.871605548914225, 3.278819528289473, 
7.971605548914225, 3.2901128873272794, 
8.071605548914224, 3.3195525505427548, 
8.171605548914226, 3.3913295993873054, 
8.271605548914225, 3.541068098735183, 
8.371605548914225, 3.7721266773651876, 
8.471605548914225, 4.003185255995192, 
8.571605548914224, 4.15292375534307, 
8.671605548914226, 4.224700804187621, 
8.771605548914225, 4.254140467403096, 
8.871605548914225, 4.265433826440903, 
8.971605548914225, 4.269654054208553, 
9.071605548914224, 4.271215626170788, 
9.171605548914224, 4.271791327234721, 
9.271605548914224, 4.272003282789202, 
