x [m], y [m], $\theta$ [rad], stamp, 
7.371605548914224, 3.2721720752338905, -0.243408206473907, 86098965000000, 
7.371605577615322, 3.272172068010752, -0.2434082060783124, 86098999000000, 
7.371605585598924, 3.2721720660553983, -0.24340820559843113, 86099033000000, 
7.371605594325146, 3.2721720638370626, -0.24340820535631025, 86099067000000, 
7.371605583696439, 3.272172066509175, -0.24340820550327064, 86099101000000, 
7.372725816895378, 3.271894070174022, -0.2432687655526136, 86099135000000, 
7.382816206758409, 3.2693963476445655, -0.2424207747607447, 86099237000000, 
7.402246961088652, 3.264621917691937, -0.23529704520395753, 86099339000000, 
7.424089392815006, 3.2597950784267233, -0.2036489263676382, 86099441000000, 
7.446068517127069, 3.2556039720728673, -0.1732356088768644, 86099543000000, 
7.468165144701827, 3.25207576884963, -0.14164921848858691, 86099645000000, 
7.490363736226757, 3.2492842700086646, -0.10693282248738305, 86099747000000, 
7.505214528551932, 3.2478706573407927, -0.08360144767733224, 86099815000000, 
7.527547305234579, 3.2463488247440955, -0.051861395523523465, 86099917000000, 
7.549925443901701, 3.245496069238601, -0.023332483953835494, 86100019000000, 
7.572325445989095, 3.2452650642122127, 0.0033042293141873507, 86100121000000, 
7.594731792712264, 3.245599309976076, 0.02724497499025044, 86100223000000, 
7.61713074522141, 3.2464210471637003, 0.04519366761357443, 86100325000000, 
7.6395074441692055, 3.247605789554808, 0.0605902353407948, 86100427000000, 
7.661859878317335, 3.249110550420245, 0.07414389935301763, 86100529000000, 
7.684196536096995, 3.250899528309156, 0.08569169655935063, 86100631000000, 
7.706518813321172, 3.2529292988277168, 0.09583722513629413, 86100733000000, 
7.728827280639263, 3.255171550226992, 0.10431770011071903, 86100835000000, 
7.743692554348223, 3.25676346684816, 0.10936708976249904, 86100903000000, 
7.7659811707027675, 3.2592792613371246, 0.1157210353116025, 86101005000000, 
7.788259124624884, 3.261932044069725, 0.12144566443283601, 86101107000000, 
7.8105246448546986, 3.2647082172951847, 0.12778473558115697, 86101209000000, 
7.832749259014643, 3.2677188840740037, 0.1404046543588051, 86101311000000, 
7.854932872063961, 3.2709852707536733, 0.15137154023714264, 86101413000000, 
7.877073317949694, 3.2744757137728024, 0.16185785685648763, 86101515000000, 
7.8991737130159185, 3.2781999560726813, 0.17230038468198478, 86101617000000, 
7.921096228275245, 3.282262534259922, 0.20614785220720722, 86101719000000, 
7.935678249440874, 3.285456331088895, 0.22270768927977053, 86101787000000, 
7.957402946233964, 3.2908132876894323, 0.25819855836756384, 86101889000000, 
7.978974404845979, 3.296820883879072, 0.28718728462300064, 86101991000000, 
8.000358239042413, 3.303467132786139, 0.316072495882469, 86102093000000, 
8.02152686497643, 3.310708772999606, 0.35147401305155657, 86102195000000, 
8.042121500319315, 3.3192424883582246, 0.42468304871610085, 86102297000000, 
8.062118931355359, 3.3291343995060005, 0.4895357566746934, 86102399000000, 
8.081566793868513, 3.340123443957293, 0.5426937969291882, 86102501000000, 
8.094177791392523, 3.3480305147107, 0.5833604330296313, 86102569000000, 
8.11218753702679, 3.3611511116961226, 0.6673537373971967, 86102671000000, 
8.12918043268402, 3.3755902870473316, 0.7427629130682283, 86102773000000, 
8.145187167147213, 3.391162527921558, 0.7998493455699668, 86102875000000, 
8.160310270931578, 3.4075974831199103, 0.8538111395779551, 86102977000000, 
8.17453624638131, 3.4246751167157146, 0.8978027508673214, 86103079000000, 
8.188066349228098, 3.442360548312768, 0.9392963755025284, 86103181000000, 
8.200870041428908, 3.460602465105788, 0.9771209705360883, 86103283000000, 
8.209077190096597, 3.473062620054489, 0.9991778261023329, 86103351000000, 
8.220954129542882, 3.492042414793552, 1.0251146982316037, 86103453000000, 
8.232374511507532, 3.511307725709812, 1.0467142828391318, 86103555000000, 
8.243418751827551, 3.5308027972815856, 1.0642436412935785, 86103657000000, 
8.254174026875672, 3.550473994795662, 1.0764129708302892, 86103759000000, 
8.264724788669001, 3.570268114141954, 1.083024580666283, 86103861000000, 
8.27520403509263, 3.590104816960758, 1.0861392487378727, 86103963000000, 
8.285644641171652, 3.6099623709327617, 1.087701486183738, 86104065000000, 
8.296061538107653, 3.6298348080490768, 1.0880961590589369, 86104167000000, 
8.303005538765845, 3.6430854624485502, 1.0880503065684035, 86104235000000, 
8.313426828459027, 3.6629614724434822, 1.0876360353473113, 86104337000000, 
8.32385563909535, 3.6828338806723293, 1.087218075937814, 86104439000000, 
8.330812056598633, 3.6960791370543937, 1.0869528323491173, 86104507000000, 
8.341252147202116, 3.7159423076231906, 1.0865976345432005, 86104609000000, 
8.351674501840243, 3.735796676290683, 1.0944665450849724, 86104711000000, 
8.361839963158925, 3.755818263731123, 1.0861072873855269, 86104813000000, 
8.372336767982953, 3.775670041053144, 1.07834549340002, 86104915000000, 
8.383072914119015, 3.795399938803044, 1.0671868173203687, 86105017000000, 
8.394051072752568, 3.815000513322912, 1.053242769115301, 86105119000000, 
8.401523111614178, 3.8279810201446534, 1.043489594452192, 86105187000000, 
8.412948216071738, 3.8473222272678105, 1.0303044589685832, 86105289000000, 
8.424615960273693, 3.8665166102100965, 1.018317927081508, 86105391000000, 
8.436503013471329, 3.8855744093065177, 1.0074829402486722, 86105493000000, 
8.44857795139393, 3.9045099355360406, 0.9982825365134607, 86105595000000, 
8.46080729969226, 3.9233406623336604, 0.9911686106790107, 86105697000000, 
8.473163286228147, 3.9420861781622465, 0.9848177542178279, 86105799000000, 
8.485741679250134, 3.960724901211988, 0.9588793271638428, 86105901000000, 
8.498871552454109, 3.9789839718876303, 0.933892665247506, 86106003000000, 
