e, $\dot{e}$, $\int e$, stamp, 
-0.06029817296722628, 1.8433080769825086e-08, -0.004100275828431847, 7105471000000, 
-0.060391145766772514, -0.0009114876354689949, -0.004102383169270946, 7105505000000, 
-0.060594216502709575, -0.0029023876027773764, -0.00410909346536539, 7105539000000, 
-0.061568861225423266, -0.005176003040930961, -0.008275791465102376, 7105641000000, 
-0.058394362315570714, 0.00718906597104203, -0.01227790592297184, 7105743000000, 
-0.05516015689914111, 0.026228127563715547, -0.009923658224940988, 7105811000000, 
-0.0493355985466537, 0.034888452539646446, -0.009230440006477379, 7105913000000, 
-0.043667517931725186, 0.03755764368436577, -0.01007510258967136, 7106015000000, 
-0.037889756274313235, 0.03740471330830219, -0.008900715347183064, 7106117000000, 
-0.03254750580226329, 0.03633990891981013, -0.007759125040564515, 7106219000000, 
-0.02759263203273621, 0.0336507328156112, -0.006666032799433265, 7106321000000, 
-0.02314546139767737, 0.03072563530910431, -0.005663420747822026, 7106423000000, 
-0.019256386907425593, 0.027242631128466064, -0.004759624662973063, 7106525000000, 
-0.0168900919521473, 0.024308878833886317, -0.0033598766145775147, 7106593000000, 
-0.01387910923445057, 0.021439297877824077, -0.0028347833253279963, 7106695000000, 
-0.011334779591713584, 0.018154615556972935, -0.0028630706929251787, 7106797000000, 
-0.009197656717653047, 0.01529886443397884, -0.0023399850969795695, 7106899000000, 
-0.00755436496143691, 0.012354296177374753, -0.0019099024864146406, 7107001000000, 
-0.006114638363298841, 0.010075223380242504, -0.0015549328828824381, 7107103000000, 
-0.004921232420215027, 0.008605008304646678, -0.0012641360306566527, 7107205000000, 
-0.003959941672229128, 0.007041492454476187, -0.0010197152469905236, 7107307000000, 
-0.0031813858065024014, 0.005685773247426882, -0.0008202540731283657, 7107409000000, 
-0.002728240802062132, 0.004765599256167095, -0.0005592755359116408, 7107477000000, 
-0.0021848406010849253, 0.003997116691626179, -0.0004586864752134693, 7107579000000, 
-0.0017520744657169018, 0.00319008606648768, -0.00045323059908274917, 7107681000000, 
-0.0014064581974735368, 0.0025437333451352566, -0.0003633493819707247, 7107783000000, 
-0.0011520860052898207, 0.0019607466027028795, -0.0002931220694566576, 7107885000000, 
-0.0009352375770501631, 0.0015399366680502412, -0.00023757716102731937, 7107987000000, 
-0.0007598936346102647, 0.0012816744139854772, -0.00019361077075261688, 7108089000000, 
-0.0006592673072796096, 0.0010662857301826179, -0.00013341591607326876, 7108157000000, 
-0.00054408934623007, 0.0008696648759657592, -0.00011125084966013017, 7108259000000, 
-0.0004504827195592753, 0.0006823025742494584, -0.00011246107736868892, 7108361000000, 
-0.0003759452510805339, 0.0005494905070246278, -9.319517754715178e-05, 7108463000000, 
-0.0003220086661022137, 0.00041984984789889424, -7.809369129845755e-05, 7108565000000, 
-0.0002755389420969756, 0.00032812519275672645, -6.619751443102117e-05, 7108667000000, 
-0.00023820441437472084, 0.00027387010368461716, -5.683113753502588e-05, 7108769000000, 
-0.0002167355885607236, 0.00022724760275572093, -4.139380688517047e-05, 7108837000000, 
-0.00019257367518266122, 0.0001841998434609746, -3.669244176002599e-05, 7108939000000, 
-0.00017332688338589364, 0.00014185851364323523, -3.9619258004790934e-05, 7109041000000, 
-0.0001587947471053397, 0.00011038865384745596, -3.567928078582482e-05, 7109143000000, 
-0.0001496607249866777, 7.734038692554227e-05, -3.276120017249795e-05, 7109245000000, 
-0.00014365703302221533, 4.9469653866419495e-05, -3.074365034776782e-05, 7109347000000, 
-0.00014189254658081296, 2.5386203940734462e-05, -2.9594300712100005e-05, 7109449000000, 
-0.0001454933289499749, -6.000967084181633e-06, -2.9310917781604213e-05, 7109551000000, 
-0.00015166679276257256, -4.2029340157053654e-05, -2.4879651203290422e-05, 7109619000000, 
-0.00016999066214173908, -9.014400358844115e-05, -2.6471877751742903e-05, 7109721000000, 
-0.00020817612078971592, -0.00018467100662465153, -3.602868314719387e-05, 7109823000000, 
