x, y, theta, stamp, 
1.301306474581003, -1.994596558368929, -2.739355460466228, Time(nanoseconds=2710175000000, clock_type=ROS_TIME), 
1.3013027427485901, -1.9946004024299537, 1.3958681371785397, Time(nanoseconds=2710209000000, clock_type=ROS_TIME), 
1.301305141676905, -1.994598571738389, 2.8348008499532993, Time(nanoseconds=2710243000000, clock_type=ROS_TIME), 
1.301302535820766, -1.994598343902958, 0.5582604661299565, Time(nanoseconds=2710277000000, clock_type=ROS_TIME), 
1.3013038248966144, -1.9945979370615816, -3.121371247794803, Time(nanoseconds=2710311000000, clock_type=ROS_TIME), 
1.3013035649777842, -1.994597539780222, -2.3483356429263975, Time(nanoseconds=2710345000000, clock_type=ROS_TIME), 
1.301301562524692, -1.9945993340018728, 0.7129487868785361, Time(nanoseconds=2710379000000, clock_type=ROS_TIME), 
1.3013030476729237, -1.9945981631860026, 1.0724281866038157, Time(nanoseconds=2710413000000, clock_type=ROS_TIME), 
1.3013057800050507, -1.9945957107350236, -2.44119968002971, Time(nanoseconds=2710515000000, clock_type=ROS_TIME), 
1.3013052529765208, -1.9945963745172521, -2.5095489419954835, Time(nanoseconds=2710583000000, clock_type=ROS_TIME), 
1.3013032175103707, -1.9945980181349723, 1.966360531594154, Time(nanoseconds=2710651000000, clock_type=ROS_TIME), 
1.3013024328977378, -1.9945989074567527, 0.9439597215242083, Time(nanoseconds=2710719000000, clock_type=ROS_TIME), 
1.3013033576312654, -1.9945979828255267, 2.644964014295791, Time(nanoseconds=2710787000000, clock_type=ROS_TIME), 
1.301302161782537, -1.994598904501724, 0.7922739380540722, Time(nanoseconds=2710889000000, clock_type=ROS_TIME), 
1.3013029035222912, -1.9945986696773705, 1.2366685702321099, Time(nanoseconds=2710957000000, clock_type=ROS_TIME), 
1.3013045887702017, -1.9945970769223784, -2.6331894670729326, Time(nanoseconds=2711025000000, clock_type=ROS_TIME), 
1.301302794363303, -1.9945989012416239, 1.216188606527862, Time(nanoseconds=2711093000000, clock_type=ROS_TIME), 
1.30130328016565, -1.9945981327778963, 1.8923727242653263, Time(nanoseconds=2711161000000, clock_type=ROS_TIME), 
1.3013025197831765, -1.9945983988298535, 0.6963921693565, Time(nanoseconds=2711263000000, clock_type=ROS_TIME), 
1.3013022102290546, -1.9945987174289814, 0.7337573931994535, Time(nanoseconds=2711331000000, clock_type=ROS_TIME), 
1.3013026925374342, -1.9945985231697392, 0.9455951214135074, Time(nanoseconds=2711399000000, clock_type=ROS_TIME), 
1.3013034524560216, -1.9945975259790425, -2.2855754187980293, Time(nanoseconds=2711467000000, clock_type=ROS_TIME), 
1.301303654237046, -1.9945974955329886, -2.5259063561083708, Time(nanoseconds=2711535000000, clock_type=ROS_TIME), 
1.301302815942022, -1.9945984134130446, 1.0018884702933717, Time(nanoseconds=2711603000000, clock_type=ROS_TIME), 
1.3013037720247855, -1.9945981039427894, 2.672482983263402, Time(nanoseconds=2711705000000, clock_type=ROS_TIME), 
1.3013037550441713, -1.9945984134815875, 2.3178071341120225, Time(nanoseconds=2711773000000, clock_type=ROS_TIME), 
1.3013040111140988, -1.9945987870740298, 2.265099987085935, Time(nanoseconds=2711841000000, clock_type=ROS_TIME), 
1.3013040260597968, -1.9945986881255207, 2.32767522586476, Time(nanoseconds=2711909000000, clock_type=ROS_TIME), 
1.3013031701324547, -1.9945978161623086, 0.5040828877422135, Time(nanoseconds=2711977000000, clock_type=ROS_TIME), 
1.301303067667777, -1.9945976525805948, -0.820767792390976, Time(nanoseconds=2712045000000, clock_type=ROS_TIME), 
1.301303180171494, -1.994597638357745, -1.441275706769339, Time(nanoseconds=2712113000000, clock_type=ROS_TIME), 
1.3013035941603215, -1.9945980471501839, 2.563968462584292, Time(nanoseconds=2712215000000, clock_type=ROS_TIME), 
1.301303158409005, -1.9945978599020315, 1.045663195687815, Time(nanoseconds=2712283000000, clock_type=ROS_TIME), 
1.3013034840155813, -1.9945977717183152, -3.077003578357217, Time(nanoseconds=2712317000000, clock_type=ROS_TIME), 
1.3013032510568998, -1.9945976723845198, -2.0057730251999097, Time(nanoseconds=2712351000000, clock_type=ROS_TIME), 
1.3013030190590666, -1.9945979803436997, 0.8226295439749021, Time(nanoseconds=2712419000000, clock_type=ROS_TIME), 
1.3013032252705752, -1.9945978586508515, 1.9256044374526662, Time(nanoseconds=2712487000000, clock_type=ROS_TIME), 
1.301303137122138, -1.9945978295251596, 0.7056979982033732, Time(nanoseconds=2712555000000, clock_type=ROS_TIME), 
1.3013031369152857, -1.9945977758419737, -0.1470230465488727, Time(nanoseconds=2712623000000, clock_type=ROS_TIME), 
1.30130351233877, -1.9945982340126258, 2.1816559536987494, Time(nanoseconds=2712691000000, clock_type=ROS_TIME), 
1.3013034150350935, -1.9945978501262924, 2.806133291607204, Time(nanoseconds=2712725000000, clock_type=ROS_TIME), 
1.3013027013328855, -1.9945979346634395, 0.32455712398219816, Time(nanoseconds=2712793000000, clock_type=ROS_TIME), 
1.3013034612161896, -1.994598596137392, 1.866389223206564, Time(nanoseconds=2712861000000, clock_type=ROS_TIME), 
1.3013037976217663, -1.994598485230904, 2.2518014803174986, Time(nanoseconds=2712895000000, clock_type=ROS_TIME), 
1.3013032981192476, -1.9945975233404876, -1.9438317875158702, Time(nanoseconds=2712963000000, clock_type=ROS_TIME), 
1.301303240209991, -1.994597786070265, 2.2751910253197556, Time(nanoseconds=2713031000000, clock_type=ROS_TIME), 
1.3013033639747773, -1.9945978956541692, 2.368002129166854, Time(nanoseconds=2713099000000, clock_type=ROS_TIME), 
