pos_x, pos_y, pos_theta, stamp, 
-1.9999415683625221, -0.5000009923742663, 7.462453279597058e-07, 6596000000, 
-1.99994164731921, -0.5000009925875321, 7.463454729577536e-07, 6630000000, 
-1.9999418148168115, -0.5000009927562389, 7.455063220870422e-07, 6664000000, 
-1.9999420218141286, -0.500000992886568, 7.443364440845905e-07, 6698000000, 
-1.9999422426847413, -0.5000009931247843, 7.431124252362139e-07, 6732000000, 
-1.9999426148725428, -0.5000009933411633, 7.412867854254982e-07, 6800000000, 
-1.9999426748351532, -0.5000009936762035, 7.434881613554885e-07, 6902000000, 
-1.9999422276510501, -0.5000009937678793, 7.506402831059717e-07, 7004000000, 
-1.9999418888231002, -0.500000993765651, 7.565482464179313e-07, 7106000000, 
-1.9999418834217477, -0.5000009938787182, 7.58290770418474e-07, 7174000000, 
-1.9999421370228836, -0.5000009941847657, 7.583372825145405e-07, 7276000000, 
-1.999942458027404, -0.5000009943666186, 7.577732025806399e-07, 7378000000, 
-1.9999425127923, -0.5000009944148147, 7.589834875746408e-07, 7446000000, 
-1.999942279390242, -0.5000009943184822, 7.639258397390849e-07, 7548000000, 
-1.9999419997192294, -0.5000009942952202, 7.691962106428062e-07, 7650000000, 
-1.999941967333351, -0.5000009943527021, 7.719646392557401e-07, 7752000000, 
-1.9999420954229004, -0.5000009943749847, 7.723457947414082e-07, 7820000000, 
-1.9999423201755913, -0.5000009943980288, 7.727628768690899e-07, 7922000000, 
-1.9999423719579734, -0.500000994396818, 7.747460122395049e-07, 8024000000, 
-1.9999422910746127, -0.5000009943509882, 7.772396529858047e-07, 8092000000, 
-1.9999421053901654, -0.5000009942491459, 7.814922497915847e-07, 8194000000, 
-1.9999420277984552, -0.5000009942136067, 7.847975546366501e-07, 8296000000, 
-1.9999420658643197, -0.5000009942028192, 7.86108286546639e-07, 8364000000, 
-1.999942174591215, -0.500000994145121, 7.874671853980808e-07, 8466000000, 
-1.9999422178708854, -0.500000994155134, 7.895951702204418e-07, 8568000000, 
-1.9999422195354828, -0.5000009940090172, 7.912725906361808e-07, 8636000000, 
-1.9999421860945084, -0.5000009940829439, 7.932338173424901e-07, 8704000000, 
-1.9999420986332415, -0.5000009939642096, 7.966216402704205e-07, 8806000000, 
-1.9999420027948385, -0.5000009939641485, 8.000681583238552e-07, 8908000000, 
-1.9999420043525302, -0.5000009939017057, 8.017409833655694e-07, 8976000000, 
-1.9999420832085877, -0.5000009939295554, 8.03384021499859e-07, 9078000000, 
-1.9999421144277256, -0.5000009938550368, 8.048310699474388e-07, 9146000000, 
-1.999942087292398, -0.5000009939035895, 8.075925340180834e-07, 9248000000, 
-1.9999420079030836, -0.5000009938777698, 8.109525497816344e-07, 9350000000, 
