x [m], y [m], 
9.24573716317241, 4.2805607499753, 
9.34573716317241, 4.0905607499753, 
9.44573716317241, 3.9205607499753, 
9.545737163172411, 3.7705607499753, 
9.645737163172411, 3.6405607499753003, 
9.74573716317241, 3.5305607499753, 
9.84573716317241, 3.4405607499753, 
9.94573716317241, 3.3705607499753003, 
10.045737163172411, 3.3205607499753, 
10.145737163172411, 3.2905607499753002, 
10.24573716317241, 3.2805607499753, 
10.34573716317241, 3.2905607499753, 
10.44573716317241, 3.3205607499753, 
10.545737163172411, 3.3705607499753, 
10.645737163172411, 3.4405607499752997, 
10.74573716317241, 3.5305607499752996, 
10.84573716317241, 3.6405607499752994, 
10.94573716317241, 3.7705607499752998, 
11.04573716317241, 3.9205607499752992, 
11.14573716317241, 4.090560749975299, 
