e, $\dot{e}$, $\int e$, stamp, 
-0.8983849631946823, -2.965597789126132e-07, -0.06109017640016528, 86602335000000, 
-0.8999167581487355, -0.015017775541572749, -0.0611248977714367, 86602369000000, 
-0.9029904967432776, -0.04515228969211054, -0.061229290276631765, 86602403000000, 
-0.9138501184641958, -0.08336813191177649, -0.09236975069411112, 86602471000000, 
-0.9125124361098442, -0.046676173365522766, -0.1237306716597184, 86602539000000, 
-0.8545441228237314, 0.19599619875045837, -0.15191804505254036, 86602641000000, 
-0.7754392918335173, 0.4479514518834213, -0.1728897178521623, 86602743000000, 
-0.6934830441513418, 0.5263433943542145, -0.15799571919898414, 86602845000000, 
-0.6040788863929945, 0.5600013249690291, -0.14096408312169403, 86602947000000, 
-0.5445110832433326, 0.5841694852380394, -0.1043841374479679, 86603015000000, 
-0.3840331272810733, 0.8164367996299088, -0.08684864215865268, 86603117000000, 
-0.30200299875384484, 0.7925100800310059, -0.08367721023092105, 86603219000000, 
-0.22992218359993188, 0.503630534905691, -0.062285165055169796, 86603321000000, 
-0.1732062251432951, 0.42090448892336524, -0.047948935709800876, 86603423000000, 
-0.10893300347576318, 0.3953894775299631, -0.034820176030891326, 86603525000000, 
-0.08576718354382828, 0.28574850195904183, -0.02501763602707628, 86603627000000, 
-0.07004480198415441, 0.15277579173675065, -0.015002216043545598, 86603695000000, 
-0.04911338921447772, 0.14547380754636438, -0.011612437902072757, 86603797000000, 
-0.03448777758769417, 0.11619942613222305, -0.010447925877470187, 86603899000000, 
-0.027670563188467057, 0.070074594856244, -0.007566477639363447, 86604001000000, 
0.07046242726160568, 0.34297452565130665, 0.0005646778810102225, 86604103000000, 
0.07684319073117907, 0.35197429952429027, 0.006779319772244668, 86604171000000, 
0.08409602920721415, 0.05498033882482082, 0.013112760007999937, 86604273000000, 
0.09068779724428389, 0.045243812134329466, 0.01711063716842204, 86604375000000, 
0.1017308488643156, 0.057630129598370765, 0.018802997921475325, 86604477000000, 
0.09371177765568017, 0.00988228892613166, 0.019456868815971015, 86604579000000, 
0.09239138171269179, -0.0326786441931961, 0.016310593799852294, 86604647000000, 
0.08433178036520861, -0.032811095627339075, 0.015324646584902898, 86604749000000, 
0.07786974747437192, -0.05801519831286998, 0.01442693154129543, 86604817000000, 
0.1534411341983919, 0.21528868427374162, 0.017886417515485104, 86604919000000, 
0.1476920318130377, 0.22817739979956134, 0.0257721981170345, 86605021000000, 
0.14306804386249006, -0.033898988025822994, 0.03020568227142653, 86605123000000, 
0.14020686394204596, -0.024461332911737705, 0.029305751893995008, 86605225000000, 
0.1274695085245221, -0.05097560567963385, 0.027930620310375947, 86605327000000, 
0.11256803294246343, -0.09032297712281873, 0.025856619567814137, 86605429000000, 
0.09851245949819587, -0.09463087917100077, 0.02302140006563233, 86605531000000, 
0.08917366641741076, -0.09171164400472294, 0.017014402335290637, 86605599000000, 
0.16013678544591947, 0.18612722028539555, 0.019709964977153143, 86605701000000, 
0.152188307410154, 0.2059301993226903, 0.027301915630596925, 86605803000000, 
0.14673454941102326, -0.043798156976785, 0.031216055674162572, 86605905000000, 
0.14330244754737675, -0.029038757721494234, 0.030071320697061667, 86606007000000, 
0.13283635095219015, -0.045418949211872915, 0.02875538765792013, 86606109000000, 
0.12353781089002958, -0.07978400878571067, 0.022648341198743798, 86606177000000, 
0.10804538543494235, -0.09620992009257545, 0.020650441012372518, 86606279000000, 
0.18352905056594349, 0.19604980286246376, 0.028227632788582244, 86606381000000, 
0.17511659066986063, 0.2191869452121512, 0.03173498981361075, 86606483000000, 
0.1695198402977307, -0.04578173290265614, 0.03591525274428036, 86606585000000, 
0.16612425367905415, -0.029386722192178045, 0.03473172655597189, 86606687000000, 
0.14802001627394556, -0.07026086282282727, 0.032889159497049666, 86606789000000, 
0.13440364738068933, -0.10366211208615954, 0.03050125837869085, 86606891000000, 
0.21530471097135662, 0.21988462319415378, 0.03384552947456742, 86606993000000, 
0.2078194292377442, 0.2276900032361068, 0.031593241296754775, 86607061000000, 
0.1993936777302574, -0.0642276931630896, 0.035276009683230296, 86607163000000, 
0.19414693338577615, -0.04468135899335968, 0.040892482744056886, 86607265000000, 
0.18458858214860507, -0.04838266529951741, 0.03931278514199542, 86607367000000, 
0.1637036280660955, -0.09948792588130932, 0.03688586176483241, 86607469000000, 
0.2520476264752336, 0.2204543932242762, 0.04082310889491552, 86607571000000, 
0.24171733048442778, 0.2549467399291904, 0.04470786378175146, 86607673000000, 
0.2337492332702178, -0.059798670604626826, 0.04947096493563178, 86607775000000, 
0.22900343309056748, -0.04154868429366114, 0.04790395978547448, 86607877000000, 
