x [m], y [m], $\theta$ [rad], stamp, 
3.8511554494353626, 1.515840887263949, -0.01576220276672423, 7135629000000, 
3.8511554405344954, 1.5158408872752351, -0.015762201470281054, 7135663000000, 
3.85115543694885, 1.5158408873801854, -0.015762200349581448, 7135697000000, 
3.8511554089034776, 1.5158408878367242, -0.015762200056446865, 7135731000000, 
3.85161927784136, 1.5158327939854348, -0.020512078361996068, 7135765000000, 
3.8526674561452547, 1.515805728345085, -0.03771504563521142, 7135799000000, 
3.8565499980456894, 1.515558937696586, -0.09134859936689907, 7135867000000, 
3.8627419764023037, 1.5147489879999558, -0.17368941031309612, 7135935000000, 
3.8760713676080454, 1.5111972954825932, -0.35052502692229454, 7136037000000, 
3.8871390499802776, 1.506175183805107, -0.5048883357139033, 7136105000000, 
3.9048407034013817, 1.4929068196499151, -0.7869081645922229, 7136207000000, 
3.9185480825368235, 1.4745586559638602, -1.0748307577088771, 7136309000000, 
3.926463866844059, 1.4530638932796927, -1.363828681587873, 7136411000000, 
3.928173070761053, 1.4378589900576555, -1.5569112462426535, 7136479000000, 
3.9252619830617643, 1.4152463752812112, -1.8411369858611126, 7136581000000, 
3.916456714066022, 1.3942506873669642, -2.0987808062846156, 7136683000000, 
3.9033606122482554, 1.3764678863864, -2.3294949983507296, 7136785000000, 
3.8867869129646326, 1.3621438439485527, -2.5292706713272155, 7136887000000, 
3.8679405971656124, 1.351298428183062, -2.7068408732543863, 7136989000000, 
3.8476913486530804, 1.3437336958635173, -2.8578469515647704, 7137091000000, 
3.8336002174133412, 1.3402746414578572, -2.943907815204656, 7137159000000, 
3.811762958276139, 1.3370918918635466, -3.04929364574049, 7137261000000, 
3.789513294147064, 1.3359527923956194, -3.131615578025182, 7137363000000, 
3.767054420801593, 1.3364188251185216, 3.0895344223805337, 7137465000000, 
3.7445806658402176, 1.3380988854063929, 3.0421734228723487, 7137567000000, 
3.722233133927904, 1.3407220447141581, 3.0092110576984514, 7137669000000, 
3.7073984717959907, 1.3428477985633003, 2.989620459667771, 7137737000000, 
3.685228540569421, 1.3464585039233823, 2.9694827414807268, 7137839000000, 
3.663132783166732, 1.3504486639279496, 2.955623603367831, 7137941000000, 
3.6410899473292706, 1.3546998600921034, 2.9461604049724137, 7138043000000, 
3.6190843629200438, 1.3591225781328289, 2.9406764752774692, 7138145000000, 
3.5971017370711236, 1.3636551642021073, 2.9367579773517973, 7138247000000, 
3.575132366151837, 1.3682516773366749, 2.934429092240547, 7138349000000, 
3.553169106505169, 1.372881751040781, 2.933371073634473, 7138451000000, 
3.538527628438435, 1.3759761059889637, 2.9331033918339497, 7138519000000, 
3.516564356499694, 1.3806207965281296, 2.9332116917735336, 7138621000000, 
3.49459738301753, 1.3852597602730723, 2.933729927314256, 7138723000000, 
3.4726257477020814, 1.389885275174075, 2.934477313927273, 7138825000000, 
3.450657894820434, 1.3944920467591007, 2.9353465964927623, 7138927000000, 
3.428696825430599, 1.3990777542173751, 2.9362295811907893, 7139029000000, 
3.4067399265133735, 1.4036425370092467, 2.9371005985967047, 7139131000000, 
3.384777511859042, 1.4081892859419762, 2.9379355951787445, 7139233000000, 
3.370131919658888, 1.4112111886900112, 2.9384670953160845, 7139301000000, 
3.348157831149764, 1.4157312403369242, 2.9391841620039734, 7139403000000, 
3.3261772641619443, 1.4202373114944409, 2.9398258168786, 7139505000000, 
3.3041906437184374, 1.4247309365720753, 2.9403933674115796, 7139607000000, 
3.2821984523927017, 1.4292133658487336, 2.9408936133635626, 7139709000000, 
3.260200332446403, 1.4336864936700817, 2.9413100696957115, 7139811000000, 
3.2381981764163905, 1.4381514459069265, 2.94167776669405, 7139913000000, 
3.216201310810218, 1.4426072232275873, 2.942003577723773, 7140015000000, 
3.201541650570028, 1.4455727653057027, 2.94220332997533, 7140083000000, 
3.1795553956113327, 1.4500150751162348, 2.94246337643295, 7140185000000, 
3.157565245084277, 1.454452400414165, 2.9426870587604763, 7140287000000, 
3.1355696545618197, 1.458885950541359, 2.942884684254699, 7140389000000, 
3.113568786274312, 1.4633161603266331, 2.9430511531912606, 7140491000000, 
3.091562961042095, 1.4677434910760416, 2.943203606323376, 7140593000000, 
3.0768918069958797, 1.4706932595835325, 2.9432997237832383, 7140661000000, 
3.054889773709731, 1.4751142908973671, 2.9434275686876106, 7140763000000, 
3.0328938407828705, 1.479531148059217, 2.943545220828057, 7140865000000, 
3.010898235491843, 1.4839451628158529, 2.943655063526726, 7140967000000, 
2.9888979931139112, 1.4883572078572356, 2.9437560448093185, 7141069000000, 
2.966892925811241, 1.4927681950379912, 2.9438545476702527, 7141171000000, 
2.944885336686088, 1.4971773936152164, 2.9439511245562975, 7141273000000, 
2.9228805807109466, 1.5015837327186197, 2.9440476735956795, 7141375000000, 
2.9008799011847746, 1.505986911251445, 2.9441470450518805, 7141477000000, 
2.8862133636851888, 1.508920927774158, 2.9442152847998373, 7141545000000, 
