e, $\dot{e}$, $\int e$, stamp, 
-3.125830452960571, -8.35632217016984e-09, -0.21255647078570286, 7135731000000, 
-3.1210886647541587, 0.046488121272712214, -0.21244899027234398, 7135765000000, 
-3.103912713793168, 0.2148797957588532, -0.21195218818084569, 7135799000000, 
-3.0505244909532916, 0.430098650793421, -0.3153678795630211, 7135867000000, 
-2.9689826357071336, 0.6614219514021289, -0.4135950327672296, 7135935000000, 
-2.7955983007705765, 0.9663304503457324, -0.4995226408877567, 7136037000000, 
-2.646034024453117, 1.2997736908913273, -0.47660151445274684, 7136105000000, 
-2.37644662997761, 1.6141627743519475, -0.44302447412807383, 7136207000000, 
-2.105418398601162, 1.7667177315423368, -0.4846971356061684, 7136309000000, 
-1.8360782360697083, 1.7659097840127511, -0.4296201419960966, 7136411000000, 
-1.6569606795205694, 1.7582238475658896, -0.3172459144708482, 7136479000000, 
-1.393837412429031, 1.7379071958014602, -0.27692299192109415, 7136581000000, 
-1.1564569711482093, 1.6356330338966014, -0.28609334429065103, 7136683000000, 
-0.9437890542449079, 1.4707462685755655, -0.23759767377190605, 7136785000000, 
-0.7596555903601736, 1.2967365385229925, -0.19447330987122374, 7136887000000, 
-0.5951871328548499, 1.139221965326987, -0.1563069608672753, 7136989000000, 
-0.4547641471185795, 0.9963772654954056, -0.12305326718268499, 7137091000000, 
-0.37452160984442173, 0.8522444171487159, -0.08072013042301156, 7137159000000, 
-0.27627397711278867, 0.7144164661531689, -0.06264838493096142, 7137261000000, 
-0.19938431024288228, 0.5723441163449002, -0.05781223300960629, 7137363000000, 
-0.14138925319879636, 0.44079975135291605, -0.041959232757703774, 7137465000000, 
-0.0969611860945232, 0.3347160919881016, -0.02976596296846172, 7137567000000, 
-0.06601087809993356, 0.24633455914661048, -0.02069656958274121, 7137669000000, 
-0.04738160622572396, 0.1924647575356341, -0.01192004132381024, 7137737000000, 
-0.02824406573855942, 0.15386094215189194, -0.008026071170305626, 7137839000000, 
-0.014972718179258049, 0.10591139884465985, -0.006160690529760817, 7137941000000, 
-0.0057996712455374855, 0.07334769442164031, -0.0033331189511081366, 7138043000000, 
-0.0003985831869637302, 0.04762789213168078, -0.0014396261375996299, 7138145000000, 
0.003579617934085455, 0.03065127182883314, -0.0001780672818922717, 7138247000000, 
0.006060193649773282, 0.021107113845545793, 0.0006284035309888604, 7138349000000, 
0.007327012184823012, 0.012246386440318814, 0.0011537440162703587, 7138451000000, 
0.0077521867968166625, 0.006224119127582371, 0.0011978989157800674, 7138519000000, 
0.00789739056769001, 0.0025587114015157638, 0.0013020067411286822, 7138621000000, 
0.00764032426504313, -0.0003655638293252686, 0.0015837133108093863, 7138723000000, 
0.007150353638624818, -0.0024412971538078183, 0.001542788656052341, 7138825000000, 
0.006528577812968006, -0.003633158340114785, 0.0014497093887312447, 7138927000000, 
0.005879197442104633, -0.004154105217386224, 0.0013299527647714269, 7139029000000, 
0.0052255463556662995, -0.004258272736280087, 0.0011990658695302477, 7139131000000, 
0.004591348159135311, -0.004208657787481446, 0.0010673342530696244, 7139233000000, 
0.004184526780151021, -0.004066765571919684, 0.0007934138733806491, 7139301000000, 
0.003641293837725712, -0.0037694934996789025, 0.0007036395640306824, 7139403000000, 
0.0031586459011161416, -0.003352551892270848, 0.0007469437232915154, 7139505000000, 
0.0027365560846321912, -0.0029566593238350355, 0.000648481715996235, 7139607000000, 
0.002369158060926857, -0.0025800256215336103, 0.0005619764831739128, 7139709000000, 
0.0020751871621911278, -0.002161336347846613, 0.0004883012889270119, 7139811000000, 
0.0018215887430454991, -0.0017894422152985553, 0.00042608350969911685, 7139913000000, 
0.0016022699958804232, -0.0015454809356558973, 0.00037393512127595937, 7140015000000, 
0.0014699963262061466, -0.0013651282734525843, 0.0002773184536908172, 7140083000000, 
0.0013067916638367372, -0.0011817489113752427, 0.0002481466192023207, 7140185000000, 
0.001175764829627557, -0.0009615408384921233, 0.00026877359173758995, 7140287000000, 
0.0010686825402301814, -0.0007781343908710974, 0.0002414842542912243, 7140389000000, 
0.000991830062355703, -0.0006010940106923329, 0.00022006686539051399, 7140491000000, 
0.000929918813459274, -0.00045347623127747527, 0.00020334933629107075, 7140593000000, 
0.0008958528354106043, -0.0003693144312726585, 0.0001596640969694496, 7140661000000, 
0.0008651854370871348, -0.00026721034443292146, 0.00015248756820423074, 7140763000000, 
0.0008526083413413765, -0.00014132187604322814, 0.00017772796974105983, 7140865000000, 
0.0008600662552535887, -1.6729352397209458e-05, 0.00017529448229038278, 7140967000000, 
0.0008936435315223257, 0.00013410192869591224, 0.00017722963271197577, 7141069000000, 
0.0009640814855540469, 0.0003399190532694713, 0.00018480980651843735, 7141171000000, 
0.001092281446826604, 0.0006491435140662691, 0.00020060043954540238, 7141273000000, 
0.0013276947461760003, 0.0011882786294835077, 0.00023011592214185225, 7141375000000, 
0.0018087063792111557, 0.0023412579489691236, 0.00028755041491053564, 7141477000000, 
