imu_ax, imu_ay, odom_v, odom_w, kf_ax, kf_ay, kf_vx, kf_w, x, y, stamp, 
-0.07493225429893734, -0.0003450273050812759, 1.393843512892248e-06, -8.393494642124498e-08, -0.03746612714946867, -2.924804514355268e-14, 6.96921756446124e-07, -4.196747321062249e-08, 0.0, 0.0, 98536000000, 
-0.06685921141422599, -0.028491152740883374, 1.4144471254291885e-06, -8.595928215038263e-08, -0.05506735156518158, 1.388691537314031e-10, -0.0017298915142466356, -8.027622113163573e-08, 8.663505002933251e-05, 0.0, 98740000000, 
-0.06935590903045713, 0.03355165807145734, 3.413947423138788e-06, -7.203605476260855e-08, -0.06378360315236728, 1.0442975573745828e-07, -0.0029176426432396367, -3.5792510772156645e-05, 0.00014531482852640632, 7.723247993691867e-11, 98842000000, 
-0.2196521885600971, 0.013749862031342769, 0.03351278343589464, 2.5853839567155243e-05, -0.15955783154777456, -3.5011072322766613e-07, 0.015563131289458687, -2.2496162032945468e-05, 0.00149054628344468, -1.3701612221513818e-09, 98910000000, 
3.357628675168338, -0.00031270398662733637, 0.13370107666510953, -0.02887546917145734, 2.014206325181319, -0.0021345390473427265, 0.11956002327084715, -0.01785328397358384, 0.004708653421440834, -5.810599575394358e-07, 99012000000, 
-0.060334712033199595, -0.1076436498101551, 0.2021975933053712, -0.5078391490319241, 0.7315543776720248, -0.07370607314255527, 0.22636522118789126, -0.32560687881190276, 0.01430309189439013, -9.904156333120062e-05, 99114000000, 
-0.08790376084140653, -0.2547273822467711, 0.2746364737184965, -0.9847246320977142, 0.22534781399624038, -0.2142258964857244, 0.288819252304676, -0.7417299739414085, 0.037622410267751226, -0.0008560009936249347, 99216000000, 
-0.03611659336379368, -0.5213633489811398, 0.31129307928618444, -1.9238125463924898, 0.06437701161073628, -0.49145258821132387, 0.3321004934606495, -1.4798309484281327, 0.06679744897535038, -0.003833603317209263, 99318000000, 
0.025321496637845768, -0.6876688836799046, 0.3402676743996902, -2.0052402415170367, 0.04091488846665485, -0.6624342414261768, 0.3661049814238988, -1.8094106200078435, 0.09916127015851889, -0.010723557545615098, 99420000000, 
0.048891604651840406, -0.699551909373838, 0.3608701403423969, -1.9266098608991744, 0.04586621138976163, -0.6944193644302666, 0.36884964135182396, -1.8826624363392044, 0.1327291813271364, -0.023752015268346, 99522000000, 
-0.014243458566751317, -0.7166057734188445, 0.38614647530324075, -1.8024023605194694, 0.008995038716362577, -0.7098013752067099, 0.3869633873581768, -1.8342856156303784, 0.16486599157013995, -0.0433305251136657, 99590000000, 
0.0011571737302321396, -0.7063029640056822, 0.40523576238777803, -1.6437857261401894, 0.004448066679338257, -0.6978696290373894, 0.4061747442270359, -1.7181512119013174, 0.19472541738609594, -0.0699624087374937, 99692000000, 
0.04070190450900539, -0.5755519676823336, 0.42130392937440553, -1.2455749055218472, 0.026689706644361915, -0.5858696119899457, 0.4112132846863897, -1.4247341557478062, 0.22169388632915327, -0.1035930080330533, 99794000000, 
0.1446695218428086, -0.5449418923236298, 0.42734841810718377, -1.032672073530549, 0.09988360121872837, -0.5230168245208525, 0.4405660251265683, -1.1871474301056177, 0.24332847170465713, -0.14153747213179255, 99896000000, 
0.049380514133536876, -0.41775097807518, 0.4003460083793153, -0.823922682001451, 0.06810356792932497, -0.415928535854481, 0.43047619114716007, -0.9662056680674683, 0.2605325343178921, -0.18368450652719737, 99998000000, 
0.045190413042143794, -0.37707135021543237, 0.3855735203577153, -0.7258587673941159, 0.05360280762451963, -0.35184449399613593, 0.42572884563668345, -0.8264520894043427, 0.2725800507457866, -0.2260152004779545, 100100000000, 
0.07911648877732709, -0.32534876851041167, 0.37858959496016187, -0.6914209244700283, 0.06891898483755551, -0.30837700926777245, 0.4115710424642656, -0.7492679937377933, 0.2803990556865632, -0.2678448150455809, 100168000000, 
0.06118010048922983, -0.3277390599093014, 0.36680890350963474, -0.7020543409422811, 0.06384273597258218, -0.2941652021431809, 0.4033408986422248, -0.7293215320673794, 0.28460599424280897, -0.3083523524172097, 100270000000, 
0.031283186092990536, -0.3220573666773012, 0.3470166973033489, -0.7380090643602492, 0.043324847410711326, -0.2875332814809839, 0.3866839984564182, -0.7435872253022405, 0.28568129422006544, -0.34757196421866515, 100372000000, 
0.04993046289908817, -0.34216333882210587, 0.3286023640715333, -0.8203682510085466, 0.04709521061612367, -0.29792998739048593, 0.37189246312069757, -0.8011186483598965, 0.28385982826864187, -0.38483571657312665, 100474000000, 
0.13107871111746022, -0.2906254188068885, 0.30136456921144744, -0.8036091718226155, 0.09829214082848726, -0.27460794696162727, 0.3402495122435741, -0.8070781502400626, 0.2794399022276686, -0.4199446094929279, 100576000000, 
0.007636683353981506, -0.2499082399470698, 0.2927180537868975, -0.7109721506243885, 0.04173970746180953, -0.24114099618911333, 0.3211088068621271, -0.7509635084304954, 0.2727672096048981, -0.4525839698453596, 100678000000, 
-0.08654758151528895, -0.25650099280853, 0.29420307518232397, -0.6863281300225779, -0.03762013064984047, -0.22848669462401994, 0.3186766943630872, -0.7169858940600518, 0.2638830398156321, -0.48357760354112855, 100780000000, 
-0.06107132297176213, -0.2616337957447953, 0.29128349564092737, -0.7137291971841848, -0.052094484578306156, -0.22740068368196678, 0.31510722481131276, -0.721661281546734, 0.2528226050083802, -0.513466325744269, 100848000000, 
-0.07797959038171509, -0.21444613403491153, 0.27875452118371563, -0.5682799575109619, -0.06825674421967448, -0.19158409592968725, 0.3029584145720452, -0.6323775367002639, 0.23978186695249096, -0.5425229443062662, 100950000000, 
