x [m], y [m], $\theta$ [rad], stamp, 
2.827251576484264, 1.5214848687921458, 2.9256291010797844, 7228483000000, 
2.8272515622704955, 1.5214848715730924, 2.9256290923254396, 7228517000000, 
2.8272515380971868, 1.521484876532492, 2.9256290827088933, 7228551000000, 
2.827251507019255, 1.52148488415801, 2.9256290743426305, 7228585000000, 
2.826123820413177, 1.5217321532459094, 2.925652289705268, 7228619000000, 
2.82386732798182, 1.5222268911229502, 2.9257129918814204, 7228653000000, 
2.8159687119115784, 1.52395810646388, 2.9257785526922517, 7228721000000, 
2.7963422700392337, 1.5282426956778823, 2.93125992423576, 7228823000000, 
2.774386643501478, 1.5325616290969457, 2.9592920233165083, 7228925000000, 
2.752322631254661, 1.536321511503014, 2.9861634126956105, 7229027000000, 
2.7301638210663532, 1.539504111934217, 3.0127640819938653, 7229129000000, 
2.715345737107039, 1.541291569487979, 3.0305871724385582, 7229197000000, 
2.693060669702761, 1.5434534609154371, 3.0584863033965424, 7229299000000, 
2.6707178713632325, 1.5450490296614807, 3.0824369002819387, 7229401000000, 
2.648334337201039, 1.5461602872265376, 3.102319577070824, 7229503000000, 
2.633396354130091, 1.5466671835621701, 3.113482276829243, 7229571000000, 
2.6109748768157783, 1.5471232469411624, 3.1282854700700073, 7229673000000, 
2.5885460771367637, 1.547299142927323, 3.139733553682943, 7229775000000, 
2.566122686419794, 1.5472465141119514, -3.1344075923360863, 7229877000000, 
2.5437055345361004, 1.5470165571649626, -3.127994165306771, 7229979000000, 
2.5287627180173917, 1.5467850401625411, -3.1240536297744987, 7230047000000, 
2.506344074356105, 1.546347329870582, -3.1196437367275944, 7230149000000, 
2.483922154232037, 1.545819523016202, -3.116164509705017, 7230251000000, 
2.4614971624575035, 1.5452213218191149, -3.113456037645169, 7230353000000, 
2.4390691107339855, 1.5445682112760197, -3.1114714620644293, 7230455000000, 
2.416638239077902, 1.5438728546949354, -3.1098160465381475, 7230557000000, 
2.401682510359647, 1.5433905542660593, -3.1088273623357243, 7230625000000, 
2.3792461523036215, 1.5426422719795954, -3.107647855630346, 7230727000000, 
2.3568129028582017, 1.5418698203100851, -3.1066970714183535, 7230829000000, 
2.3343903412123623, 1.541077701567108, -3.1059018567983308, 7230931000000, 
2.3119748687825648, 1.5402691867281892, -3.1052429040527874, 7231033000000, 
2.2895572574175156, 1.539447171074528, -3.1047580884715615, 7231135000000, 
2.274609812510729, 1.5388931944734767, -3.104453471418043, 7231203000000, 
2.252185036097176, 1.5380543908616875, -3.1040711774858427, 7231305000000, 
2.229755956793039, 1.5372076342698588, -3.1037619439333057, 7231407000000, 
2.20732517014434, 1.5363545040639366, -3.1035097172977824, 7231509000000, 
2.1848999850364805, 1.5354964313434538, -3.1033111513252614, 7231611000000, 
2.1699539233397314, 1.534922156536226, -3.1031866009850178, 7231679000000, 
2.1475369004498512, 1.5340578199719683, -3.103036172184821, 7231781000000, 
2.125116658877102, 1.5331902259483612, -3.102905656596252, 7231883000000, 
2.1026919061634537, 1.5323198118350192, -3.1027937160504675, 7231985000000, 
2.0802641807796465, 1.5314470828304152, -3.1027027100504694, 7232087000000, 
2.0653133851867347, 1.5308642630044222, -3.1026450119117728, 7232155000000, 
2.042891115972062, 1.5299888168556552, -3.102570817644972, 7232257000000, 
2.0204720670741123, 1.5291119985381776, -3.1025034378612175, 7232359000000, 
1.9980519120542446, 1.5282338075870383, -3.1024437673142917, 7232461000000, 
1.9756280344590302, 1.527354302394168, -3.102389277850305, 7232563000000, 
1.9532024804561825, 1.5264736756964272, -3.1023417198136403, 7232665000000, 
1.9307785501970707, 1.525592160292326, -3.1022956849556844, 7232767000000, 
1.9083573711925967, 1.524709829744417, -3.1022514144288316, 7232869000000, 
1.8946091230972821, 1.5241598518322257, -3.097801335338633, 7232937000000, 
1.8768996964939726, 1.5232935179907692, -3.095971129571519, 7233039000000, 
