e, e_dot, e_int, stamp, 
0.10999406529636246, -0.05026745911554659, 0.019715091269081785, 13872000000, 
0.104928275059323, -0.035370109732347464, 0.02248582309153126, 13974000000, 
0.10073266496858624, -0.03026601414305956, 0.021464540362050474, 14076000000, 
0.09643274607894137, -0.027763166602554377, 0.02054237065526584, 14178000000, 
0.09331040346203334, -0.02935762357845395, 0.016460296155541787, 14246000000, 
0.08786922832687338, -0.033087219152032665, 0.01573136807917806, 14348000000, 
0.0819486961788618, -0.037129762363305695, 0.017892726301808257, 14450000000, 
0.07612284820793258, -0.03838686313379348, 0.016723972544529404, 14552000000, 
0.0707576205747178, -0.03657214249720264, 0.015560383217382826, 14654000000, 
0.06590287148360519, -0.03339861674616796, 0.014469267138105377, 14756000000, 
0.06166564440566802, -0.029712340421731293, 0.013486177279551386, 14858000000, 
0.059081128472952216, -0.026516343062127034, 0.010576813180526107, 14926000000, 
0.05575748707737116, -0.02353076893678026, 0.010001908064172844, 15028000000, 
0.05270162313167548, -0.02084805667083901, 0.01139273623037592, 15130000000, 
0.049799447402544494, -0.01947071789159041, 0.010761581917588196, 15232000000, 
0.047943707516126643, -0.0185809985580319, 0.008525204089519641, 15300000000, 
0.045160028419909626, -0.01819375465962024, 0.00809784705585291, 15402000000, 
0.04246247169903361, -0.01791253534997723, 0.00921850211918475, 15504000000, 
0.03981049878801368, -0.017482122980052108, 0.00866544392567307, 15606000000, 
0.03817186986601406, -0.016699072856272406, 0.00682520762000681, 15674000000, 
0.03578557813998051, -0.01583083368965026, 0.006446850318327134, 15776000000, 
0.033601436735497536, -0.014936055982080155, 0.007314004162421462, 15878000000, 
0.03157980098914592, -0.013744369773969244, 0.006865743478794429, 15980000000, 
0.02978362730527495, -0.01247650140595616, 0.006457610822034451, 16082000000, 
0.02860820763882721, -0.011631709750139163, 0.005098392702884058, 16150000000, 
0.026978989577131074, -0.011086103141724665, 0.004837680056203216, 16252000000, 
0.025437764928534, -0.010360923889847088, 0.005509697425825475, 16354000000, 
0.023974625304094666, -0.009818183898811792, 0.005194613827063661, 16456000000, 
0.022602763785017466, -0.009264709619335084, 0.004897030473199936, 16558000000, 
0.0212947761749529, -0.008757676892620147, 0.004615307237956422, 16660000000, 
0.020046949339235898, -0.008352334790135843, 0.004348225272346026, 16762000000, 
0.018874658775188458, -0.00790888039138707, 0.0040947141316776525, 16864000000, 
0.017775610350774684, -0.007422676432879784, 0.003855410855633534, 16966000000, 
0.01674639711369652, -0.006955103468927898, 0.0036309733042968564, 17068000000, 
0.01608763040234429, -0.006592690536295791, 0.0028678794791195446, 17136000000, 
0.015172871523250642, -0.0062186566866731866, 0.002720390945559849, 17238000000, 
0.014318666593089002, -0.005780927481226426, 0.003099383459270507, 17340000000, 
0.013517251536922625, -0.005410522831137308, 0.002924597696421834, 17442000000, 
0.012786594560769249, -0.005006771347450175, 0.002762330862973099, 17544000000, 
0.012089919397626936, -0.00466448411534539, 0.002610776053681679, 17646000000, 
0.011636150747990737, -0.004501072345086967, 0.0020690510000285923, 17714000000, 
0.010993362582719879, -0.004324971044853454, 0.001967434521272461, 17816000000, 
0.01038753500250822, -0.004080443612687966, 0.0022451592866588803, 17918000000, 
0.009811862024529105, -0.0038611129352639655, 0.0021211076534634896, 18020000000, 
0.00945053557983444, -0.00365249230399056, 0.0016801628477227332, 18088000000, 
0.008934566926082965, -0.0034573801333120033, 0.0015978279900586356, 18190000000, 
0.00845584550804901, -0.003250621149625593, 0.001825184464949716, 18292000000, 
0.008002984769809096, -0.003044386131613952, 0.0017267510098679926, 18394000000, 
0.00759264094683898, -0.002820929938594867, 0.0016355000432794016, 18496000000, 
0.0073239256047039625, -0.0026582249548125565, 0.0012987745748766154, 18564000000, 
0.006947469468766343, -0.00254748087954296, 0.0012389620411508595, 18666000000, 
0.006589014555378192, -0.0024016700958358513, 0.0014185078547616977, 18768000000, 
0.006251435945002104, -0.0022746193587066636, 0.0013455785579019712, 18870000000, 
0.0059396850825961245, -0.002121991741117868, 0.0012770492196423964, 18972000000, 
0.005735375909623919, -0.0020203092217787196, 0.0010158348264425884, 19040000000, 
0.005451229562207782, -0.001930098388478579, 0.0009704897980842434, 19142000000, 
0.005180947287716009, -0.0018118582415291168, 0.0011129935876492442, 19244000000, 
0.004928054558533734, -0.001709722234228915, 0.0010580957357751116, 19346000000, 
0.004696826559517753, -0.0015820938830008377, 0.0010067963315921896, 19448000000, 
0.004545673490260249, -0.001496593473536722, 0.0008029980944709984, 19516000000, 
0.004335659075732856, -0.0014272680340315306, 0.0007694290171122819, 19618000000, 
0.004135896668260308, -0.0013391399411762778, 0.000885171587929232, 19720000000, 
0.003948999161698996, -0.0012635944903067321, 0.0008445977335870668, 19822000000, 
0.0037719801963658206, -0.0011892695159950576, 0.0008062675697901084, 19924000000, 
0.0036117165955729114, -0.0011022306082551791, 0.0007706233248473654, 20026000000, 
0.0035070071878986475, -0.0010370186676611276, 0.0006171398921907848, 20094000000, 
0.0033595934216612555, -0.0009950257442770843, 0.0005937713082908594, 20196000000, 
0.00322317002322281, -0.0009275724335811685, 0.0006861044030292243, 20298000000, 
0.003139476818375009, -0.000856088907549501, 0.0005509269482513475, 20366000000, 
0.003057251641787939, -0.0008133253991905431, 0.00042703539791348773, 20434000000, 
0.0029441594463435194, -0.0007726469291667457, 0.0005179836480353664, 20536000000, 
0.0028418231734552712, -0.0007040146023943398, 0.0006013399297878976, 20638000000, 
0.002745797120566884, -0.0006482428946948869, 0.0005801610223448658, 20740000000, 
0.0026857241006221777, -0.0006082862183184534, 0.00046882284902984554, 20808000000, 
0.0026048268912717276, -0.0005588455531617963, 0.0004553930597061114, 20910000000, 
0.0025306592414007234, -0.0005067479059524651, 0.0005318422958640347, 21012000000, 
0.0024625118779320054, -0.0004650817429402686, 0.000516663864721103, 21114000000, 
0.0024235359173880866, -0.000413762432302602, 0.00042028006541417953, 21182000000, 
0.0023716981246857394, -0.00036046318143210946, 0.0004112722688003304, 21284000000, 
0.0023291282250390566, -0.00030852187042166673, 0.00048445663416367597, 21386000000, 
0.0022948946994691966, -0.00025099158567497656, 0.0004757090313451914, 21488000000, 
0.0022790547399105243, -0.0001895211271498967, 0.0003911744009837307, 21556000000, 
0.002264930464362269, -0.00012380462381131856, 0.00038753652787871276, 21658000000, 
0.002264177997194139, -4.861680626269737e-05, 0.00046295509769975137, 21760000000, 
0.0022781667636899705, 4.325588015588666e-05, 0.0004628947153167537, 21862000000, 
0.0023122149874499343, 0.00015698362828691284, 0.0004661100628867149, 21964000000, 
0.002348489284893951, 0.00028908388864702205, 0.00039320269204191845, 22032000000, 
0.00242826466349344, 0.0004385190351814191, 0.00040170823969744844, 22134000000, 
0.0025470959004882943, 0.0006490412274324947, 0.0004980217897235465, 22236000000, 
0.0027241254277430293, 0.0009668652426457164, 0.0005235650474372838, 22338000000, 
0.018699872402588635, 0.0527868513140534, 0.0016300343736957569, 22440000000, 
0.020281041741210704, 0.059959153538492516, 0.0023632855757207342, 22508000000, 
0.02330190811794619, 0.01762294243355748, 0.0035293599281655797, 22610000000, 
0.06376845751456939, 0.1421157378214336, 0.007299895701413386, 22712000000, 
0.0722546413163685, 0.15997625228242585, 0.010834100472524116, 22814000000, 
0.12090936214834747, 0.18673498246332706, 0.017471407346591403, 22916000000, 
0.12809602439367618, 0.19423109215677137, 0.018204734911975554, 22984000000, 
0.142870041360184, 0.08350983769444735, 0.022206274247791764, 23086000000, 
0.18821897645134866, 0.19648023548258983, 0.031224582869954196, 23188000000, 
0.19545707071984397, 0.17185303712307184, 0.035805134020133605, 23290000000, 
0.19883444473575596, 0.040209657818180665, 0.03300892787472708, 23358000000, 
0.23292315406763153, 0.12795676586844298, 0.03554216460631645, 23460000000, 
0.2448368073919016, 0.15033451848413615, 0.046008419621279655, 23562000000, 
0.26372881987294194, 0.10067211047487064, 0.0504212371306083, 23664000000, 
0.2671275031668614, 0.07284541102928037, 0.05274713286935593, 23766000000, 
0.27682539621610225, 0.058645499567910875, 0.04576863075783465, 23834000000, 
0.28320143676555665, 0.06837542523959368, 0.04687207904841615, 23936000000, 
0.2822233105319323, 0.01764024286218965, 0.057273009758924194, 24038000000, 
0.28722746045615066, 0.013156940165339923, 0.05798035012724748, 24140000000, 
0.2808752074577763, -0.004405565601817006, 0.05782216653431842, 24242000000, 
0.28148027391730457, -0.017792984670202447, 0.04814303337043645, 24310000000, 
0.2843017197610678, 0.012186423310639351, 0.04797724139771509, 24412000000, 
0.27016730550997536, -0.03697048499127192, 0.05684455234480763, 24514000000, 
0.27045925341186283, -0.04523681813465668, 0.0560951229504376, 24616000000, 
0.2732616225475506, 0.014691181717055935, 0.046120330283265364, 24684000000, 
0.2805733809291917, 0.03763173884043385, 0.04671000789035429, 24786000000, 
0.2516643657886619, -0.07057927045388458, 0.05477395711004748, 24888000000, 
0.25485608461792086, -0.08404345199761713, 0.05352238053083266, 24990000000, 
0.2605474823824432, 0.029029792790134873, 0.052160619429653755, 25092000000, 
0.22490318926717556, -0.09788527892400427, 0.05034085942619269, 25194000000, 
0.22407025560775695, -0.11920662344668705, 0.04824742305350154, 25296000000, 
0.22611817253466793, 0.0073168030423132425, 0.03825519165321069, 25364000000, 
0.23180647069038196, 0.02862801812444607, 0.03864637760052572, 25466000000, 
0.1914087900341852, -0.11342935457674092, 0.04415467346162798, 25568000000, 
0.19550463296150955, -0.118633456630302, 0.04207295277065321, 25670000000, 
0.19910975219177107, 0.03105726069515238, 0.03320797992728973, 25738000000, 
0.16461297917877316, -0.09506239924054129, 0.031689550645483046, 25840000000, 
0.15671053701316762, -0.13855952672746227, 0.0353894622500924, 25942000000, 
0.16142403987826093, -0.010421370263111856, 0.03282683381277371, 26044000000, 
0.16535782126596743, 0.028259098865358868, 0.03287748307470292, 26146000000, 
0.13683845479677093, -0.08034504928591503, 0.03152618148398795, 26248000000, 
0.1398287102326412, -0.08342846742917066, 0.030057699068085805, 26350000000, 
0.14273646222609493, 0.024025762830231584, 0.02376620554447873, 26418000000, 
0.14015296118254028, 0.005810872374594558, 0.023954027573005663, 26520000000, 
0.11104260084954731, -0.10357471038087458, 0.026787377649556406, 26622000000, 
