pos_x, pos_y, pos_theta, stamp, 
0.0, 0.0, 2.8094859163553347e-11, 1701295507326297887, 
0.0, 0.0, 2.8549606524842114e-11, 1701295507386519763, 
0.0, 0.0, 2.8947510465969785e-11, 1701295507436657787, 
0.0, 0.0, 2.9231727566775264e-11, 1701295507486743844, 
0.0, 0.0, 2.962963150790293e-11, 1701295507537666557, 
0.0, 0.0, 2.991384860870841e-11, 1701295507576731588, 
0.0, 0.0, 3.031175254983608e-11, 1701295507625973698, 
0.0, 0.0, 3.059596965064156e-11, 1701295507676255031, 
0.0, 0.0, 3.099387359176923e-11, 1701295507726402614, 
0.0, 0.0, 3.1448620953057995e-11, 1701295507786660508, 
0.0, 0.0, 3.1732838053863475e-11, 1701295507836787381, 
0.0, 0.0, 3.241495909579662e-11, 1701295507938761598, 
0.0, 0.0, 3.326761039821306e-11, 1701295508047516491, 
0.0, 0.0, 3.3949731440146206e-11, 1701295508136060370, 
0.0, 0.0, 3.491606958288483e-11, 1701295508285970156, 
0.0, 0.0, 3.576872088530127e-11, 1701295508395912917, 
-2.0556544910732555e-08, 2.4176443957912852e-08, -2.3838262565540645e-07, 1701295508476384162, 
-2.0556544910732555e-08, 2.4176443957912852e-08, -2.3838276848137312e-07, 1701295508572758137, 
-2.0556544910732555e-08, 2.4176443957912852e-08, -2.3838318894359385e-07, 1701295508686801044, 
-2.0556544910732555e-08, 2.4176443957912852e-08, -2.3838371462589355e-07, 1701295508776397795, 
-2.0556544910732555e-08, 2.4176443957912852e-08, -2.3838403501517393e-07, 1701295508892122199, 
-2.0556544910732555e-08, 2.4176443957912852e-08, -2.3838460605042326e-07, 1701295508986681256, 
-2.0556544910732555e-08, 2.4176443957912852e-08, -2.3838489786869105e-07, 1701295509087674461, 
-2.0556544910732555e-08, 2.4176443957912852e-08, -2.3838529369875883e-07, 1701295509176787629, 
-2.0556544910732555e-08, 2.4176443957912852e-08, -2.383852839708045e-07, 1701295509276452616, 
-2.0556544910732555e-08, 2.4176443957912852e-08, -2.383862773837779e-07, 1701295509386685548, 
-2.0556544910732555e-08, 2.4176443957912852e-08, -2.3838599058075225e-07, 1701295509487692975, 
-2.0556544910732555e-08, 2.4176443957912852e-08, -2.3838521169995928e-07, 1701295509576350327, 
-2.0556544910732555e-08, 2.4176443957912852e-08, -2.3838440493324296e-07, 1701295509676434080, 
-2.0556544910732555e-08, 2.4176443957912852e-08, -2.3838391857424873e-07, 1701295509786757830, 
-2.0556544910732555e-08, 2.4176443957912852e-08, -2.3838349045360364e-07, 1701295509886996321, 
-2.0556544910732555e-08, 2.4176443957912852e-08, -2.383834452981763e-07, 1701295509976211835, 
1.7763568394002505e-15, 1.7763568394002505e-15, 3.571059761725924e-11, 1701295510076554289, 
1.7763568394002505e-15, 1.7763568394002505e-15, 3.6885043032815414e-11, 1701295510186692844, 
1.7763568394002505e-15, 1.7763568394002505e-15, 3.863064583826743e-11, 1701295510287718505, 
1.7763568394002505e-15, 1.7763568394002505e-15, 3.899899542651545e-11, 1701295510376715609, 
1.7763568394002505e-15, 1.7763568394002505e-15, 3.960189848776318e-11, 1701295510476231182, 
1.7763568394002505e-15, 1.7763568394002505e-15, 4.136554350196961e-11, 1701295510585876950, 
1.7763568394002505e-15, 1.7763568394002505e-15, 4.248005678369347e-11, 1701295510684762154, 
1.7763568394002505e-15, 1.7763568394002505e-15, 4.2756257451297516e-11, 1701295510776720607, 
1.7763568394002505e-15, 1.7763568394002505e-15, 4.265820747024569e-11, 1701295510876359006, 
1.7763568394002505e-15, 1.7763568394002505e-15, 4.2394873564686856e-11, 1701295510985888278, 
1.7763568394002505e-15, 1.7763568394002505e-15, 4.2144827714875765e-11, 1701295511084004793, 
1.7763568394002505e-15, 1.7763568394002505e-15, 4.2025978200984966e-11, 1701295511176162108, 
1.7763568394002505e-15, 1.7763568394002505e-15, 4.1510972735496075e-11, 1701295511276481247, 
1.7763568394002505e-15, 1.7763568394002505e-15, 4.070328994555972e-11, 1701295511386892768, 
