e, $\dot{e}$, $\int e$, stamp, 
1.0000000035962562, -1.2589613447605022e-08, 0.06800000060699142, 7256533000000, 
1.0007279144298658, 0.007136236543975217, 0.06801649989011273, 7256567000000, 
1.0018433241638005, 0.018071770270042416, 0.06805828148963826, 7256601000000, 
1.0057680476223183, 0.030174230031310357, 0.10228353573134348, 7256669000000, 
1.0118780180969809, 0.04918967614304093, 0.1368835190080339, 7256737000000, 
1.024792703361872, 0.07215568946694435, 0.17240486358126636, 7256839000000, 
1.0410098195619546, 0.0952019655718096, 0.20928227678941486, 7256941000000, 
1.0567206974339411, 0.10433984990872269, 0.21233157898432817, 7257043000000, 
1.0646670711692334, 0.09029555057165023, 0.17920252999602398, 7257111000000, 
1.0721591368317396, 0.06343668714197571, 0.18096765797464512, 7257213000000, 
1.0739325019916421, 0.03027918569414613, 0.2183315922794978, 7257315000000, 
1.0698650550954212, -0.007496999138295421, 0.21868505518647857, 7257417000000, 
1.0605282059142804, -0.04380488914170494, 0.21789415188409134, 7257519000000, 
1.052040454513951, -0.07211920353475453, 0.1803379105463403, 7257587000000, 
1.0368281083414896, -0.09132017409462583, 0.17846581689695085, 7257689000000, 
1.019406972194657, -0.10664536705651624, 0.2113627363834066, 7257791000000, 
1.0003122032867489, -0.11933302305470846, 0.20784521529995686, 7257893000000, 
0.9802104380122404, -0.1280932489621459, 0.2039952137175679, 7257995000000, 
0.9585233877373742, -0.13656475669730275, 0.1998551299744727, 7258097000000, 
0.9364654161281607, -0.1429575878564696, 0.19551354844768867, 7258199000000, 
0.9215942163671434, -0.1449829125841157, 0.15960637114651843, 7258267000000, 
0.8992290522739481, -0.14598680959059218, 0.15624635880359095, 7258369000000, 
0.8768334872775935, -0.14627689244950973, 0.18344065940247054, 7258471000000, 
0.8544290574001644, -0.14640521200582915, 0.178873428592716, 7258573000000, 
0.8320226871534482, -0.14644052328152057, 0.174303395764522, 7258675000000, 
0.809606479146533, -0.14647901390075602, 0.16973195921160988, 7258777000000, 
0.7946598315071274, -0.1465234623072668, 0.13805637654240283, 7258845000000, 
0.7722350175809375, -0.14655158622646536, 0.13466840859996054, 7258947000000, 
0.7498053525106553, -0.1465832646943533, 0.15753561370871294, 7259049000000, 
0.7273716393100083, -0.14661234729061842, 0.15296001663930883, 7259151000000, 
0.7049345280985679, -0.14663668108525277, 0.1483835833545077, 7259253000000, 
0.6824938827236698, -0.14665933524947194, 0.14380640340899273, 7259355000000, 
0.6675315340223341, -0.14668028897680288, 0.11644773020785908, 7259423000000, 
0.6450852175154064, -0.14669882208801088, 0.11305626927481326, 7259525000000, 
0.6226356483209008, -0.14671858072363833, 0.13159716319038758, 7259627000000, 
0.6001828340753752, -0.14673981516350057, 0.12701745159399438, 7259729000000, 
0.5777268101501332, -0.1467609090547962, 0.1224370798931558, 7259831000000, 
0.5552708990818549, -0.14677102939058925, 0.11785627694490068, 7259933000000, 
0.5328250304115058, -0.14673784228309614, 0.11327594629575757, 7260035000000, 
0.5178670980188871, -0.1466757099976377, 0.09100457155902736, 7260103000000, 
0.4954390665722979, -0.1466174184167228, 0.08761410105015247, 7260205000000, 
0.4730141400042061, -0.14657829416562412, 0.10106978071248657, 7260307000000, 
0.45058553459201944, -0.1465801698701911, 0.09649463439945959, 7260409000000, 
0.43563114397259267, -0.14660193248799613, 0.0770230797188997, 7260477000000, 
0.4131967826620209, -0.1466207426134376, 0.0736334294695092, 7260579000000, 
0.3907587039781615, -0.14664196076611502, 0.08429189088166869, 7260681000000, 
0.36831662515066943, -0.1466671814096454, 0.0797145036017779, 7260783000000, 
0.345870495911714, -0.14669349041322713, 0.07513631610275703, 7260885000000, 
0.3309040909349614, -0.146718093804197, 0.0592218353465162, 7260953000000, 
0.3084509705418475, -0.14674094071321164, 0.055829448252016294, 7261055000000, 
0.285996107796094, -0.14675811483290002, 0.06292387951055739, 7261157000000, 
0.263550173820505, -0.14673462980830887, 0.05834381314677435, 7261259000000, 
0.24111504730620234, -0.14667013231990747, 0.053764970366750486, 7261361000000, 
0.21868761941008805, -0.14660965493600311, 0.04918799315650208, 7261463000000, 
0.20373470676337346, -0.14659083943198095, 0.037600451163847616, 7261531000000, 
0.18130133817143004, -0.14661025347063822, 0.03421100764621052, 7261633000000, 
0.15886330647607688, -0.146638563030381, 0.036985155895939856, 7261735000000, 
0.13642075859345482, -0.14666856071233736, 0.0324078074203854, 7261837000000, 
0.11397375012790642, -0.14669789656264856, 0.027829531433425786, 7261939000000, 
0.09152277022218187, -0.14672545219370245, 0.02325037496816093, 7262041000000, 
0.06991442751388086, -0.14398471442492014, 0.018727944454749897, 7262143000000, 
0.05152449982063302, -0.13071330196584593, 0.014481395433855309, 7262245000000, 
