x [m], y [m], $\theta$ [rad], stamp, 
1.8545001048948533, 1.522204018831257, -3.093235213400349, 7256431000000, 
1.8545001000144568, 1.5222040183049543, -3.0932352108599392, 7256465000000, 
1.8545000865924732, 1.522204017901345, -3.093235208362949, 7256499000000, 
1.8545001012985973, 1.5222040181882472, -3.0932352066960807, 7256533000000, 
1.8537721911325864, 1.5221674651871948, -3.088607760146654, 7256567000000, 
1.852656785904411, 1.522102206317627, -3.070709723211126, 7256601000000, 
1.848732177896673, 1.5217114340237226, -3.012472125797928, 7256669000000, 
1.8426232492917378, 1.5206701992116864, -2.9274663637270506, 7256737000000, 
1.8297225516918088, 1.516631648158486, -2.7455733658696406, 7256839000000, 
1.813594988218413, 1.5074397883664148, -2.4983671224259156, 7256941000000, 
1.7982116178220027, 1.4919837530709568, -2.206879358545717, 7257043000000, 
1.7906897583402064, 1.4795013374710082, -2.01472364473261, 7257111000000, 
1.7842255813047758, 1.4586614437668723, -1.7258990812522352, 7257213000000, 
1.7839655313478953, 1.4368415816902003, -1.4367313864177795, 7257315000000, 
1.789934869343035, 1.4158456840904865, -1.1498915510445784, 7257417000000, 
1.8013563750572488, 1.397270597187964, -0.8783942239335335, 7257519000000, 
1.8111595294339096, 1.3871871253299366, -0.7213865932419735, 7257587000000, 
1.8281735616997123, 1.3750090699365902, -0.5097242827771575, 7257689000000, 
1.84701722364021, 1.3667407790029285, -0.3224017604885807, 7257791000000, 
1.8671461507781717, 1.3617151614780338, -0.1706244822903165, 7257893000000, 
1.8879027260652896, 1.3594096392355086, -0.05626973076683966, 7257995000000, 
1.9099551853262875, 1.3591028853074714, 0.020470066655377782, 7258097000000, 
1.932145291124393, 1.3602500960058177, 0.0774410048981683, 7258199000000, 
1.9470039854669807, 1.3616216634346527, 0.10679097036866188, 7258267000000, 
1.9692443305020595, 1.364295493546149, 0.13377059307926809, 7258369000000, 
1.9914299919045757, 1.3674560156960482, 0.1502831891078352, 7258471000000, 
2.0135693226749116, 1.3709280007560511, 0.16098991462549778, 7258573000000, 
2.0356763064068213, 1.374591895454906, 0.16755742715616256, 7258675000000, 
2.0577732137493387, 1.3783676117513777, 0.17041004200239007, 7258777000000, 
2.072501329891586, 1.3809164974278254, 0.1721735514995549, 7258845000000, 
2.0945918195031363, 1.3847765100448015, 0.17389336284984364, 7258947000000, 
2.11668166435758, 1.3886674490955713, 0.1749235300001787, 7259049000000, 
2.1387720415307627, 1.3925782459864373, 0.17562418847516093, 7259151000000, 
2.16086288684901, 1.3965055755347164, 0.17628640761973802, 7259253000000, 
2.1829547494781587, 1.4004471480867469, 0.17682291543737322, 7259355000000, 
2.1976835153362253, 1.403080903548021, 0.17714361679784346, 7259423000000, 
2.2197778539267654, 1.407040647992685, 0.17756662381862096, 7259525000000, 
2.2418736676618773, 1.411010498501974, 0.1779612127271047, 7259627000000, 
2.2639711619379304, 1.4149892724158115, 0.17829799799300053, 7259729000000, 
2.286070529541617, 1.4189757037719335, 0.17856318060665793, 7259831000000, 
2.308168714379817, 1.422968021808614, 0.17880732550531478, 7259933000000, 
2.330256122050013, 1.4269634839524532, 0.17900319564595457, 7260035000000, 
2.344974759870638, 1.4296283525443878, 0.1791172908891349, 7260103000000, 
2.367043474182205, 1.433626923257388, 0.17924932167359406, 7260205000000, 
2.3891086159612844, 1.4376277888838638, 0.17935129367076608, 7260307000000, 
2.4111769214982925, 1.4416318211032868, 0.1794357038177391, 7260409000000, 
2.425890880776816, 1.4443026286010212, 0.17947661219643293, 7260477000000, 
2.447964352305836, 1.4483104259484747, 0.17953654922286283, 7260579000000, 
2.470041261085951, 1.4523200997095151, 0.1795876394697201, 7260681000000, 
2.4921219099527097, 1.4563315648550135, 0.1796342322490112, 7260783000000, 
2.514206398522567, 1.4603445543522697, 0.17967160189885098, 7260885000000, 
2.5289316110878635, 1.463020632330136, 0.1796953327774842, 7260953000000, 
2.5510228193370033, 1.4670357455335845, 0.17972510500821062, 7261055000000, 
2.5731156814562035, 1.4710515025626165, 0.17975049281434272, 7261157000000, 
2.5951996995339135, 1.475065988532245, 0.17976924759374865, 7261259000000, 
2.6172730477495554, 1.4790787432303563, 0.1797818517329361, 7261361000000, 
2.6393387941275455, 1.4830902714763257, 0.17979124020601137, 7261463000000, 
2.654050552070095, 1.4857649256439642, 0.17979570999946737, 7261531000000, 
2.6761221463416343, 1.4897774999749687, 0.17980443362546425, 7261633000000, 
2.6981983042657793, 1.493791041785177, 0.17980902729425732, 7261735000000, 
2.720278906405505, 1.4978053866708974, 0.17981278315798363, 7261837000000, 
2.742363904697332, 1.5018204881390589, 0.1798156556663095, 7261939000000, 
2.764452828922224, 1.505836197991224, 0.1798175990366283, 7262041000000, 
2.7856959657088063, 1.5097936358613104, 0.19624413477982214, 7262143000000, 
2.8037508980757804, 1.5132994082838298, 0.19204801482958633, 7262245000000, 
2.8131968319826397, 1.5151472950693938, 0.19136256310887007, 7262313000000, 
